team1,team2,venue,toss_winner,toss_decision,winner,date
Nigeria,Botswana,"Gahanga International Cricket Stadium, Rwanda",Botswana,field,Nigeria,2024-12-05
Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,2024-12-05
Ireland,Bangladesh,Sylhet Stadium,Ireland,bat,Ireland,2024-12-05
China,Namibia,"Mission Road Ground, Mong Kok, Hong Kong",China,bat,Namibia,2024-12-05
Thailand,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Thailand,bat,Thailand,2024-12-05
Pakistan,Zimbabwe,"Queens Sports Club, Bulawayo",Pakistan,bat,Zimbabwe,2024-12-05
Botswana,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Rwanda,2024-12-06
Panama,Suriname,"St Albans Club, Buenos Aires",Panama,bat,Panama,2024-12-06
Bahrain,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,Bahrain,2024-12-06
Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Uganda,2024-12-06
Bahamas,Brazil,"St George's College Ground, Buenos Aires",Bahamas,bat,Bahamas,2024-12-06
Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,2024-12-07
Argentina,Belize,"St George's College Ground, Buenos Aires",Belize,field,Argentina,2024-12-07
Nigeria,Botswana,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Botswana,2024-12-07
Bahrain,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,Qatar,2024-12-07
Bermuda,Suriname,"Hurlingham Club Ground, Buenos Aires",Bermuda,bat,Bermuda,2024-12-07
Ireland,Bangladesh,Sylhet Stadium,Ireland,bat,Ireland,2024-12-07
Mexico,Brazil,"Hurlingham Club Ground, Buenos Aires",Mexico,bat,Mexico,2024-12-07
Cayman Islands,Panama,"St George's College Ground, Buenos Aires",Cayman Islands,bat,Cayman Islands,2024-12-07
Hong Kong,Namibia,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Namibia,2024-12-07
Thailand,China,"Mission Road Ground, Mong Kok, Hong Kong",Thailand,bat,Thailand,2024-12-07
Suriname,Brazil,"St Albans Club, Buenos Aires",Suriname,bat,Brazil,2024-12-08
Hong Kong,China,"Mission Road Ground, Mong Kok, Hong Kong",China,field,Hong Kong,2024-12-08
Panama,Bermuda,"St Albans Club, Buenos Aires",Panama,bat,Bermuda,2024-12-08
Rwanda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Botswana,2024-12-08
Bahamas,Argentina,"Hurlingham Club Ground, Buenos Aires",Bahamas,bat,Bahamas,2024-12-08
Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Uganda,field,Uganda,2024-12-08
Bahrain,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,Qatar,2024-12-08
Thailand,Namibia,"Mission Road Ground, Mong Kok, Hong Kong",Thailand,bat,Thailand,2024-12-08
Cayman Islands,Belize,"Hurlingham Club Ground, Buenos Aires",Cayman Islands,bat,Cayman Islands,2024-12-08
Nigeria,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Rwanda,2024-12-09
Uganda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Botswana,field,Uganda,2024-12-09
Bangladesh,Ireland,Sylhet Stadium,Ireland,field,Ireland,2024-12-09
Malaysia,Namibia,"Selangor Turf Club, Kuala Lumpur",Namibia,field,Namibia,2024-12-10
South Africa,Pakistan,"Kingsmead, Durban",South Africa,bat,South Africa,2024-12-10
Cayman Islands,Suriname,"Hurlingham Club Ground, Buenos Aires",Suriname,field,Suriname,2024-12-10
Mexico,Bermuda,"Hurlingham Club Ground, Buenos Aires",Mexico,bat,Bermuda,2024-12-10
Bahamas,Belize,"St Albans Club, Buenos Aires",Belize,field,Bahamas,2024-12-10
Panama,Argentina,"St Albans Club, Buenos Aires",Panama,bat,Argentina,2024-12-10
Mexico,Cayman Islands,"St George's College Ground, Buenos Aires",Mexico,bat,Cayman Islands,2024-12-11
Rwanda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Botswana,field,Rwanda,2024-12-11
Uganda,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Nigeria,field,Uganda,2024-12-11
Suriname,Argentina,"Hurlingham Club Ground, Buenos Aires",Suriname,bat,Argentina,2024-12-11
Bermuda,Brazil,"St George's College Ground, Buenos Aires",Brazil,field,Bermuda,2024-12-11
Bahamas,Panama,"Hurlingham Club Ground, Buenos Aires",Bahamas,bat,Bahamas,2024-12-11
Panama,Brazil,"Belgrano Athletic Club Ground, Buenos Aires",Panama,bat,Brazil,2024-12-12
Botswana,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Botswana,bat,Nigeria,2024-12-12
Suriname,Mexico,"St George's College Ground, Buenos Aires",Mexico,field,Mexico,2024-12-12
Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,2024-12-12
Malaysia,Namibia,"Selangor Turf Club, Kuala Lumpur",Namibia,field,Namibia,2024-12-12
Bahamas,Cayman Islands,"Belgrano Athletic Club Ground, Buenos Aires",Bahamas,bat,Cayman Islands,2024-12-12
Bermuda,Belize,"St George's College Ground, Buenos Aires",Belize,field,Bermuda,2024-12-12
Bahrain,United Arab Emirates,"ICC Academy, Dubai",Bahrain,bat,United Arab Emirates,2024-12-13
Uganda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,2024-12-13
Pakistan,South Africa,"SuperSport Park, Centurion",Pakistan,bat,South Africa,2024-12-13
Saudi Arabia,Kuwait,"ICC Academy, Dubai",Kuwait,field,Kuwait,2024-12-13
Nigeria,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Nigeria,2024-12-13
Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Uganda,2024-12-14
Bahrain,Kuwait,"ICC Academy, Dubai",Kuwait,field,Bahrain,2024-12-14
Argentina,Mexico,"Belgrano Athletic Club Ground, Buenos Aires",Mexico,field,Argentina,2024-12-14
Panama,Belize,"St Albans Club, Buenos Aires",Panama,bat,Belize,2024-12-14
Bahamas,Suriname,"Belgrano Athletic Club Ground, Buenos Aires",Bahamas,bat,Bahamas,2024-12-14
Cayman Islands,Brazil,"St Albans Club, Buenos Aires",Cayman Islands,bat,Cayman Islands,2024-12-14
Oman,Qatar,"ICC Academy, Dubai",Qatar,field,Oman,2024-12-14
Panama,Mexico,"Hurlingham Club Ground, Buenos Aires",Mexico,field,Panama,2024-12-15
United Arab Emirates,Oman,"ICC Academy, Dubai",Oman,field,United Arab Emirates,2024-12-15
Bangladesh,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,Bangladesh,2024-12-15
India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",West Indies,field,India,2024-12-15
Brazil,Belize,"Belgrano Athletic Club Ground, Buenos Aires",Brazil,bat,Belize,2024-12-15
Bermuda,Bahamas,"Belgrano Athletic Club Ground, Buenos Aires",Bermuda,bat,Bermuda,2024-12-15
Cayman Islands,Argentina,"Hurlingham Club Ground, Buenos Aires",Argentina,field,Cayman Islands,2024-12-15
Gibraltar,Jersey,Europa Sports Complex,Jersey,field,Jersey,2024-12-15
Qatar,Saudi Arabia,"ICC Academy, Dubai",Saudi Arabia,field,Saudi Arabia,2024-12-15
Belize,Suriname,"St Albans Club, Buenos Aires",Belize,bat,Suriname,2024-12-16
Bermuda,Cayman Islands,"St Albans Club, Buenos Aires",Bermuda,bat,Bermuda,2024-12-16
Bahamas,Mexico,"St George's College Ground, Buenos Aires",Bahamas,bat,Bahamas,2024-12-16
United Arab Emirates,Kuwait,"ICC Academy, Dubai",United Arab Emirates,bat,United Arab Emirates,2024-12-16
Saudi Arabia,Bahrain,"ICC Academy, Dubai",Bahrain,field,Bahrain,2024-12-16
Gibraltar,Jersey,Europa Sports Complex,Jersey,field,Jersey,2024-12-16
Argentina,Brazil,"St George's College Ground, Buenos Aires",Brazil,field,Argentina,2024-12-16
Qatar,Kuwait,"ICC Academy, Dubai",Kuwait,field,Kuwait,2024-12-17
Oman,Bahrain,"ICC Academy, Dubai",Bahrain,field,Oman,2024-12-17
Bangladesh,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,Bangladesh,2024-12-17
India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",West Indies,field,West Indies,2024-12-17
Oman,Saudi Arabia,"ICC Academy, Dubai",Saudi Arabia,field,Saudi Arabia,2024-12-18
United Arab Emirates,Qatar,"ICC Academy, Dubai",United Arab Emirates,bat,United Arab Emirates,2024-12-18
India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",West Indies,field,India,2024-12-19
Bangladesh,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",Bangladesh,bat,Bangladesh,2024-12-19
Saudi Arabia,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,Saudi Arabia,2024-12-19
Oman,Kuwait,"ICC Academy, Dubai",Oman,bat,Kuwait,2024-12-20
Bahrain,Qatar,"ICC Academy, Dubai",Qatar,field,Qatar,2024-12-20
United Arab Emirates,Kuwait,Dubai International Cricket Stadium,United Arab Emirates,bat,United Arab Emirates,2024-12-21
Bhutan,Myanmar,Gelephu International Cricket Ground,Myanmar,field,Myanmar,2024-12-22
Myanmar,Bhutan,Gelephu International Cricket Ground,Bhutan,field,Myanmar,2024-12-24
Singapore,Philippines,Singapore National Cricket Ground,Philippines,field,Singapore,2024-12-24
Bhutan,Myanmar,Gelephu International Cricket Ground,Bhutan,bat,Myanmar,2024-12-26
Philippines,Singapore,Singapore National Cricket Ground,Philippines,bat,Singapore,2024-12-26
Bhutan,Myanmar,Gelephu International Cricket Ground,Myanmar,field,Myanmar,2024-12-27
Singapore,Philippines,Singapore National Cricket Ground,Philippines,field,Philippines,2024-12-27
New Zealand,Sri Lanka,"Bay Oval, Mount Maunganui",Sri Lanka,field,New Zealand,2024-12-28
New Zealand,Sri Lanka,"Bay Oval, Mount Maunganui",Sri Lanka,field,New Zealand,2024-12-30
Sri Lanka,New Zealand,"Saxton Oval, Nelson",New Zealand,field,Sri Lanka,2025-01-02
Australia,England,Sydney Cricket Ground,England,field,Australia,2025-01-20
England,India,"Eden Gardens, Kolkata",India,field,India,2025-01-22
Australia,England,"Manuka Oval, Canberra",England,field,Australia,2025-01-23
England,India,"MA Chidambaram Stadium, Chepauk, Chennai",India,field,India,2025-01-25
Australia,England,Adelaide Oval,Australia,bat,Australia,2025-01-25
Bangladesh,West Indies,"Warner Park, Basseterre, St Kitts",Bangladesh,bat,West Indies,2025-01-27
England,India,"Saurashtra Cricket Association Stadium, Rajkot",India,field,England,2025-01-28
West Indies,Bangladesh,"Warner Park, Basseterre, St Kitts",Bangladesh,field,West Indies,2025-01-29
Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Netherlands,2025-01-30
Netherlands,Thailand,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Thailand,2025-01-31
Bangladesh,West Indies,"Warner Park, Basseterre, St Kitts",West Indies,field,West Indies,2025-01-31
India,England,"Maharashtra Cricket Association Stadium, Pune",England,field,India,2025-01-31
Nepal,Thailand,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Thailand,2025-02-01
Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,2025-02-02
India,England,"Wankhede Stadium, Mumbai",England,field,India,2025-02-02
Thailand,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Thailand,2025-02-03
Hungary,Malta,Marsa Sports Club,Malta,field,Hungary,2025-02-03
Malta,Austria,Marsa Sports Club,Austria,field,Austria,2025-02-03
Hungary,Austria,Marsa Sports Club,Hungary,bat,Austria,2025-02-04
Malta,Hungary,Marsa Sports Club,Malta,bat,Hungary,2025-02-04
Thailand,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Thailand,bat,Thailand,2025-02-04
Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Netherlands,2025-02-05
Austria,Hungary,Marsa Sports Club,Hungary,field,Hungary,2025-02-05
Malta,Austria,Marsa Sports Club,Austria,field,Austria,2025-02-05
Thailand,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Thailand,bat,Netherlands,2025-02-06
Nepal,Thailand,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Thailand,2025-02-07
Bahrain,Indonesia,Udayana Cricket Ground,Indonesia,field,Bahrain,2025-02-19
Indonesia,Bahrain,Udayana Cricket Ground,Bahrain,field,Bahrain,2025-02-20
Oman,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,United States of America,2025-02-20
Oman,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,United States of America,2025-02-21
Bahrain,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,2025-02-22
Bahrain,Indonesia,Udayana Cricket Ground,Indonesia,field,Bahrain,2025-02-23
Oman,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,United States of America,2025-02-23
Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe,2025-02-23
Indonesia,Bahrain,Udayana Cricket Ground,Indonesia,bat,Bahrain,2025-02-24
Bahrain,Singapore,Singapore National Cricket Ground,Singapore,field,Bahrain,2025-02-28
Singapore,Bahrain,Singapore National Cricket Ground,Singapore,bat,Bahrain,2025-03-01
Singapore,Bahrain,Singapore National Cricket Ground,Singapore,bat,Bahrain,2025-03-02
Hong Kong,Uganda,Entebbe Cricket Oval,Uganda,field,Uganda,2025-03-08
Nepal,Namibia,Entebbe Cricket Oval,Nepal,bat,Namibia,2025-03-08
Uganda,Nepal,Entebbe Cricket Oval,Nepal,field,Nepal,2025-03-09
Namibia,Hong Kong,Entebbe Cricket Oval,Namibia,bat,Hong Kong,2025-03-09
Brazil,Argentina,"St Albans Club, Buenos Aires",Argentina,field,Brazil,2025-03-10
Vanuatu,Samoa,"N'Du Stadium, Noumea, New Caledonia",Vanuatu,bat,Vanuatu,2025-03-10
Canada,United States of America,"St Albans Club, Buenos Aires",Canada,bat,Canada,2025-03-10
Uganda,Namibia,Entebbe Cricket Oval,Namibia,field,Uganda,2025-03-10
Hong Kong,Nepal,Entebbe Cricket Oval,Nepal,field,Hong Kong,2025-03-10
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Bahrain,2025-03-10
Vanuatu,France,"N'Du Stadium, Noumea, New Caledonia",Vanuatu,bat,Vanuatu,2025-03-11
Hong Kong,Bahrain,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Bahrain,2025-03-11
United States of America,Brazil,"St Albans Club, Buenos Aires",Brazil,field,United States of America,2025-03-11
Argentina,Canada,"St Albans Club, Buenos Aires",Canada,field,Argentina,2025-03-11
Namibia,Nepal,Entebbe Cricket Oval,Nepal,field,Namibia,2025-03-12
Uganda,Hong Kong,Entebbe Cricket Oval,Uganda,bat,Hong Kong,2025-03-12
France,Samoa,"N'Du Stadium, Noumea, New Caledonia",France,bat,Samoa,2025-03-12
Vanuatu,Fiji,"N'Du Stadium, Noumea, New Caledonia",Vanuatu,bat,Vanuatu,2025-03-12
Hong Kong,Malaysia,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Hong Kong,2025-03-12
Brazil,Canada,"St Albans Club, Buenos Aires",Brazil,bat,Canada,2025-03-13
Fiji,France,"N'Du Stadium, Noumea, New Caledonia",Fiji,bat,Fiji,2025-03-13
Hong Kong,Namibia,Entebbe Cricket Oval,Namibia,field,Namibia,2025-03-13
Uganda,Nepal,Entebbe Cricket Oval,Uganda,bat,Uganda,2025-03-13
United States of America,Argentina,"St Albans Club, Buenos Aires",Argentina,field,United States of America,2025-03-13
Bahrain,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Bahrain,2025-03-13
New Zealand,Sri Lanka,"Hagley Oval, Christchurch",New Zealand,bat,Sri Lanka,2025-03-14
United States of America,Brazil,"St Albans Club, Buenos Aires",Brazil,field,United States of America,2025-03-14
Vanuatu,Samoa,"N'Du Stadium, Noumea, New Caledonia",Vanuatu,bat,Samoa,2025-03-14
Hong Kong,Nepal,Entebbe Cricket Oval,Hong Kong,bat,Nepal,2025-03-14
Uganda,Namibia,Entebbe Cricket Oval,Uganda,bat,Uganda,2025-03-14
Canada,Argentina,"St Albans Club, Buenos Aires",Canada,bat,Canada,2025-03-14
Malaysia,Hong Kong,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Hong Kong,2025-03-15
Argentina,United States of America,"St Albans Club, Buenos Aires",United States of America,field,United States of America,2025-03-16
Sri Lanka,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,New Zealand,2025-03-16
Namibia,Uganda,Entebbe Cricket Oval,Namibia,bat,Uganda,2025-03-16
Pakistan,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,New Zealand,2025-03-16
United States of America,Canada,"St Albans Club, Buenos Aires",United States of America,bat,United States of America,2025-03-17
Argentina,Brazil,"St Albans Club, Buenos Aires",Brazil,field,Brazil,2025-03-17
Hong Kong,Bahrain,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Bahrain,2025-03-17
Pakistan,New Zealand,"University Oval, Dunedin",New Zealand,field,New Zealand,2025-03-18
Canada,Namibia,"Namibia Cricket Ground, Windhoek",Namibia,field,Namibia,2025-03-19
New Zealand,Australia,"Eden Park, Auckland",New Zealand,bat,Australia,2025-03-21
New Zealand,Pakistan,"Eden Park, Auckland",Pakistan,field,Pakistan,2025-03-21
Canada,Namibia,"Namibia Cricket Ground, Windhoek",Canada,bat,Namibia,2025-03-22
Australia,New Zealand,"Bay Oval, Mount Maunganui",Australia,bat,Australia,2025-03-23
Canada,Namibia,"Namibia Cricket Ground, Windhoek",Namibia,field,Namibia,2025-03-23
New Zealand,Pakistan,"Bay Oval, Mount Maunganui",Pakistan,field,New Zealand,2025-03-23
Pakistan,New Zealand,"Sky Stadium, Wellington",New Zealand,field,New Zealand,2025-03-26
Australia,New Zealand,"Sky Stadium, Wellington",New Zealand,field,Australia,2025-03-26
Portugal,Norway,Santarem Cricket Ground,Portugal,bat,Portugal,2025-04-07
Norway,Portugal,Santarem Cricket Ground,Portugal,field,Norway,2025-04-07
Norway,Portugal,Santarem Cricket Ground,Norway,bat,Portugal,2025-04-08
Uganda,Namibia,"High Performance Oval, Windhoek",Namibia,field,Uganda,2025-04-08
Portugal,Norway,Santarem Cricket Ground,Portugal,bat,Norway,2025-04-08
Hong Kong,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,field,Kuwait,2025-04-09
Norway,Portugal,Santarem Cricket Ground,Portugal,field,Portugal,2025-04-09
Qatar,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Nepal,2025-04-09
Uganda,Namibia,"High Performance Oval, Windhoek",Namibia,field,Uganda,2025-04-09
Portugal,Norway,Santarem Cricket Ground,Portugal,bat,Portugal,2025-04-09
Cook Islands,Indonesia,Udayana Cricket Ground,Cook Islands,bat,Indonesia,2025-04-09
Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,Indonesia,2025-04-10
Hong Kong,Qatar,"Mission Road Ground, Mong Kok, Hong Kong",Qatar,field,Hong Kong,2025-04-10
Kuwait,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Nepal,2025-04-10
Cook Islands,Philippines,Udayana Cricket Ground,Cook Islands,bat,Cook Islands,2025-04-11
Namibia,Uganda,"High Performance Oval, Windhoek",Uganda,field,Namibia,2025-04-11
Cook Islands,Indonesia,Udayana Cricket Ground,Cook Islands,bat,Indonesia,2025-04-12
Namibia,Uganda,"High Performance Oval, Windhoek",Namibia,bat,Namibia,2025-04-12
Qatar,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,field,Kuwait,2025-04-12
Hong Kong,Qatar,"Mission Road Ground, Mong Kok, Hong Kong",Qatar,field,Hong Kong,2025-04-13
Kuwait,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Kuwait,2025-04-13
Namibia,Uganda,"High Performance Oval, Windhoek",Namibia,bat,Namibia,2025-04-14
Namibia,Uganda,"High Performance Oval, Windhoek",Uganda,field,Uganda,2025-04-15
Mexico,Costa Rica,"Clayton Panama, Panama City",Costa Rica,field,Mexico,2025-04-17
Panama,Turks and Caicos Island,"Clayton Panama, Panama City",Panama,bat,Panama,2025-04-17
Costa Rica,Panama,"Clayton Panama, Panama City",Costa Rica,bat,Panama,2025-04-18
Turks and Caicos Island,Mexico,"Clayton Panama, Panama City",Turks and Caicos Island,bat,Mexico,2025-04-18
United States of America,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",United States of America,bat,United States of America,2025-04-19
Panama,Mexico,"Clayton Panama, Panama City",Panama,bat,Panama,2025-04-19
Costa Rica,Turks and Caicos Island,"Clayton Panama, Panama City",Costa Rica,bat,Turks and Caicos Island,2025-04-19
Bermuda,Canada,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Canada,2025-04-19
Turks and Caicos Island,Costa Rica,"Clayton Panama, Panama City",Turks and Caicos Island,bat,Costa Rica,2025-04-20
United States of America,Bahamas,"Jimmy Powell Oval, Cayman Islands",United States of America,bat,United States of America,2025-04-20
Bermuda,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Bermuda,2025-04-20
Bahamas,Canada,"Jimmy Powell Oval, Cayman Islands",Bahamas,bat,Canada,2025-04-21
Bermuda,United States of America,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,United States of America,2025-04-21
Canada,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,field,Canada,2025-04-23
Bahamas,Bermuda,"Jimmy Powell Oval, Cayman Islands",Bahamas,bat,Bermuda,2025-04-23
Canada,United States of America,"Jimmy Powell Oval, Cayman Islands",Canada,bat,Canada,2025-04-24
Cayman Islands,Bahamas,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,bat,Cayman Islands,2025-04-24
Saudi Arabia,Thailand,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Saudi Arabia,2025-04-24
Malaysia,Singapore,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,2025-04-24
Zimbabwe,United States of America,"Grand Prairie Stadium, Dallas",United States of America,field,Zimbabwe,2025-04-25
Saudi Arabia,Singapore,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Saudi Arabia,2025-04-25
Thailand,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Malaysia,2025-04-25
Botswana,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Eswatini,field,Botswana,2025-04-26
Mozambique,Sierra Leone,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,bat,Sierra Leone,2025-04-26
Saudi Arabia,Malaysia,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Malaysia,2025-04-26
Singapore,Thailand,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Singapore,2025-04-26
Eswatini,Sierra Leone,"Botswana Cricket Association Oval 1, Gaborone",Sierra Leone,field,Sierra Leone,2025-04-26
Bermuda,United States of America,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,United States of America,2025-04-26
Cayman Islands,Canada,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,bat,Canada,2025-04-26
Botswana,Mozambique,"Botswana Cricket Association Oval 2, Gaborone",Botswana,bat,Botswana,2025-04-26
Sierra Leone,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Botswana,field,Sierra Leone,2025-04-27
Sierra Leone,Eswatini,"Botswana Cricket Association Oval 2, Gaborone",Eswatini,field,Sierra Leone,2025-04-27
Botswana,Mozambique,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Botswana,2025-04-27
Mozambique,Eswatini,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,bat,Mozambique,2025-04-27
Zimbabwe,United States of America,"Grand Prairie Stadium, Dallas",United States of America,field,Zimbabwe,2025-04-27
Canada,United States of America,"Jimmy Powell Oval, Cayman Islands",Canada,bat,United States of America,2025-04-27
Saudi Arabia,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Saudi Arabia,2025-04-28
Mozambique,Eswatini,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,bat,Mozambique,2025-04-29
Malaysia,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Malaysia,2025-04-29
Botswana,Sierra Leone,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Sierra Leone,2025-04-29
Eswatini,Botswana,"Botswana Cricket Association Oval 2, Gaborone",Botswana,field,Botswana,2025-04-29
Zimbabwe,United States of America,"Grand Prairie Stadium, Dallas",United States of America,field,United States of America,2025-04-29
Mozambique,Sierra Leone,"Botswana Cricket Association Oval 1, Gaborone",Sierra Leone,field,Sierra Leone,2025-04-29
Singapore,Saudi Arabia,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Saudi Arabia,2025-04-29
Mozambique,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat,Mozambique,2025-04-30
Sierra Leone,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Botswana,field,Sierra Leone,2025-04-30
Malaysia,Saudi Arabia,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,field,Saudi Arabia,2025-04-30
Cyprus,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,Cyprus,2025-05-02
Malaysia,Saudi Arabia,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,2025-05-02
Bahrain,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,field,Oman,2025-05-02
Cyprus,Czech Republic,"Scott Page Field, Vinor",Cyprus,bat,Cyprus,2025-05-02
Singapore,Thailand,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Singapore,2025-05-02
Kuwait,Thailand,"Terdthai Cricket Ground, Bangkok",Kuwait,bat,Thailand,2025-05-03
Czech Republic,Cyprus,"Scott Page Field, Vinor",Czech Republic,bat,Cyprus,2025-05-03
Oman,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Oman,2025-05-03
Czech Republic,Cyprus,"Scott Page Field, Vinor",Czech Republic,bat,Cyprus,2025-05-03
United Arab Emirates,Hong Kong,"Terdthai Cricket Ground, Bangkok",Hong Kong,field,United Arab Emirates,2025-05-03
United Arab Emirates,Kuwait,"Terdthai Cricket Ground, Bangkok",United Arab Emirates,bat,United Arab Emirates,2025-05-04
Thailand,Hong Kong,"Terdthai Cricket Ground, Bangkok",Hong Kong,field,Thailand,2025-05-04
Czech Republic,Cyprus,"Scott Page Field, Vinor",Czech Republic,bat,Cyprus,2025-05-04
Croatia,Malta,Marsa Sports Club,Croatia,bat,Malta,2025-05-05
Bahrain,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,bat,Oman,2025-05-05
Croatia,Malta,Marsa Sports Club,Malta,field,Malta,2025-05-05
Malta,Estonia,Marsa Sports Club,Estonia,field,Estonia,2025-05-06
Malta,Estonia,Marsa Sports Club,Estonia,field,Malta,2025-05-06
Thailand,United Arab Emirates,"Terdthai Cricket Ground, Bangkok",Thailand,bat,Thailand,2025-05-06
Hong Kong,Kuwait,"Terdthai Cricket Ground, Bangkok",Kuwait,field,Hong Kong,2025-05-06
Malta,Estonia,Marsa Sports Club,Estonia,field,Malta,2025-05-07
